time,pid,x,y,z
1645222117624,MC4267,-5.4881256E-4,1.4617317,-0.55021507
1645222117644,MC4267,-0.18635234,1.6194848,-0.25105125
1645222117667,MC4267,-0.3243482,1.5196009,-0.15238695
1645222117688,MC4267,-0.16561942,1.1792152,-0.05866196
1645222117703,MC4267,-0.022013482,0.99115545,0.033416584
1645222117723,MC4267,0.1042134,0.8527327,0.0395145
1645222117745,MC4267,0.16135088,0.76406896,0.011220167
1645222117765,MC4267,0.17086363,0.8216944,0.008537084
1645222117784,MC4267,0.11616532,0.9427989,-0.03518498
1645222117804,MC4267,0.05195425,1.0212182,-0.11921428
1645222117824,MC4267,0.012866604,0.9848136,-0.17025384
1645222117845,MC4267,-0.033965398,0.8524888,-0.13702019
1645222117866,MC4267,-0.062076796,0.75480014,-0.09232247
1645222117889,MC4267,-0.080370545,0.72205436,-0.11409203
1645222117908,MC4267,-0.09628611,0.7120538,-0.15726528
1645222117925,MC4267,-0.15342359,0.69278437,-0.20049952
1645222117945,MC4267,-0.23080614,0.717176,-0.2327575
1645222117967,MC4267,-0.24227025,0.81047416,-0.25519782
1645222117984,MC4267,-0.29989555,0.8790757,-0.29282197
1645222118005,MC4267,-0.32068947,0.87127036,-0.29062673
1645222118025,MC4267,-0.34971553,0.85809886,-0.33190963
1645222118045,MC4267,-0.32922652,0.80193704,-0.3297144
1645222118064,MC4267,-0.29843205,0.77333784,-0.27769914
1645222118084,MC4267,-0.23129399,0.8121816,-0.3206285
1645222118105,MC4267,-0.14677685,0.8727339,-0.37581465
1645222118124,MC4267,-0.12262911,0.90987027,-0.4769181
1645222118145,MC4267,-0.19074285,0.92499304,-0.53795826
1645222118165,MC4267,-0.29745638,0.9023088,-0.541617
1645222118184,MC4267,-0.36410663,0.9198708,-0.5480198
1645222118205,MC4267,-0.33483663,1.036341,-0.43837926
1645222118225,MC4267,-0.31282315,1.3513594,-0.15726528
1645222118245,MC4267,-0.19830427,1.6727197,-0.16635118
1645222118265,MC4267,-0.090127215,1.6104599,-0.11823861
1645222118285,MC4267,-0.007866313,1.3310534,-0.037380233
1645222118306,MC4267,0.018537667,1.0556104,0.11061622
1645222118326,MC4267,0.12055582,0.8429151,0.12720254
1645222118345,MC4267,0.17824212,0.8251092,0.017562002
1645222118366,MC4267,0.13549572,0.9264565,-0.036160648
1645222118386,MC4267,0.015366751,1.1254925,-0.14702079
1645222118405,MC4267,-0.13994719,1.2487924,-0.24836817
1645222118425,MC4267,-0.28111398,1.2231202,-0.19537726
1645222118446,MC4267,-0.36313096,1.1103088,-0.12799528
1645222118466,MC4267,-0.32898262,0.9850575,-0.108969785
1645222118487,MC4267,-0.20367043,0.8409637,-0.16293634
1645222118507,MC4267,-0.15220402,0.70473623,-0.15263087
1645222118527,MC4267,-0.13360536,0.61168206,-0.17025384
1645222118546,MC4267,-0.121409535,0.62192655,-0.19342592
1645222118566,MC4267,-0.11262853,0.6935161,-0.1973286
1645222118587,MC4267,-0.084029295,0.79876614,-0.19366984
1645222118607,MC4267,-0.08378538,0.92767614,-0.23495273
1645222118626,MC4267,-0.13848369,0.9525556,-0.23105009
1645222118646,MC4267,-0.21739075,0.8561475,-0.21684194
1645222118666,MC4267,-0.24422158,0.78553367,-0.18366927
1645222118687,MC4267,-0.17879093,0.77919185,-0.16214362
1645222118708,MC4267,-0.08280971,0.8585868,-0.19708468
1645222118726,MC4267,-0.0051832297,1.0529273,-0.23983108
1645222118746,MC4267,0.023903836,1.3081251,-0.2859923
1645222118766,MC4267,-0.007866313,1.3933741,-0.28208965
1645222118787,MC4267,-0.0064028124,1.2344013,-0.2705646
1645222118807,MC4267,0.08665141,0.96895903,-0.3047739
1645222118826,MC4267,0.13452005,0.76992303,-0.39612067
1645222118847,MC4267,0.09006623,0.78577757,-0.4295373
1645222118868,MC4267,-0.042075627,1.012925,-0.2269035
1645222118889,MC4267,-0.04475871,1.2631835,-0.022745231
1645222118906,MC4267,-0.022257397,1.4350837,0.069333315
1645222118926,MC4267,-0.06890646,1.4470967,-0.01689123
1645222118947,MC4267,-0.11311636,1.2947097,-0.17586392
1645222118968,MC4267,-0.19903602,1.1122601,-0.27623564
1645222118988,MC4267,-0.30306646,0.8707825,-0.22324473
1645222119007,MC4267,-0.36093572,0.6104625,-0.20806092
1645222119027,MC4267,-0.38660794,0.54259264,-0.17074168
1645222119048,MC4267,-0.38977885,0.6009497,-0.072321296
1645222119067,MC4267,-0.39392543,0.7872411,0.0148789175
1645222119090,MC4267,-0.39124236,1.0212182,0.06713806
1645222119109,MC4267,-0.33166572,1.1765321,0.069333315
